language,text_id,sentence
Dutch,World Environment Day,Op wereldmilieudag in 1977 is op initiatief van de Keniaanse organisatoren een boomplantactie opgezet die woestijnvorming moet tegengaan .
Dutch,Monocole,"Een monocle of oogglas is een halve bril , dat wil zeggen , een bril bestaande uit één rond glas en bedoeld voor één oog , afgestemd op de noden van de slechtziende ."
Dutch,Monocole,"Een monocle functioneert op dezelfde wijze als een bril , met het verschil dat ze niet op de neus wordt geplaatst en ook niet achter het oor wordt gehaakt ."
Dutch,Monocole,"Aan die ring is een touwtje bevestigd , dat men ofwel rond de nek kan hangen , ofwel ergens anders aan de kledij kan vasthaken , zodat de monocle in geval van loskomen niet op de grond terechtkomt ."
Dutch,Monocole,Men klemt de monocle tussen het jukbeen en de wenkbrauw .
Dutch,Monocole,"De monocle is sinds medio twintigste eeuw uit de mode geraakt ; mensen die slechts aan één oog problemen hebben , verkiezen veelal toch een bril te dragen , waarvan dan slechts één glas werkzaam is ."
Dutch,Monocole,Misschien is de aristocratische connotatie die met het oogglas verbonden is een van de redenen voor het uit zwang geraken — dit verklaart echter niet waarom de monocle niet populair is onder snobs .
Dutch,Monocole,Vermoedelijk wordt de monocle als minder gebruiksvriendelijk dan de bril ervaren .
Dutch,Wine Tasting,Wijnproeven is het sensorisch onderzoeken en beoordelen van wijn .
Dutch,Wine Tasting,"Hoewel de praktijk van het wijnproeven zo oud is als de productie zelf , is er sinds de late Middeleeuwen een geformaliseerde methode tot stand gekomen ."
Dutch,Wine Tasting,"Moderne professionele wijnproevers gebruiken een gespecialiseerde terminologie die constant evolueert en die gebruikt wordt om de reikwijdte van gepercipiëerde smaken , aroma ’s en algemene karakteristieken van de wijn te beschrijven ."
Dutch,Wine Tasting,"In de afgelopen jaren zijn er resultaten opgedoken die de betrouwbaarheid van het wijnproeven in vraag stellen , zowel bij experts als bij consumenten ."
Dutch,Wine Tasting,"Er zijn bijvoorbeeld studies die aantonen dat mensen verwachten dat duurdere wijn wenselijkere karakteristieken heeft dan minder dure wijn : wanneer proevers een wijn voorgeschoteld krijgen waarvan valselijk wordt verteld dat die duur is , rapporteren ze praktisch altijd dat die beter smaakt dan identiek dezelfde wijn als wordt verteld dat die goedkoop is ."
Dutch,Wine Tasting,"Andere onderzoeken tonen aan dat de mening van proevers bevooroordeeld kan zijn omdat ze details over de wijn kennen , zoals de geografische origine , de reputatie , of andere kenmerken ."
